시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
경기도,화성시,용도변경허가,용도변경,2,0,제1종근린생활시설,소매점,"1,590",360.4,22.67,360.4,360.4,22.67,제1종근린생활시설,소매점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,360.4,360.4,360.4,0,1,6,0,0,건축사사무소 황금디자인,허가
강원도,고성군,신축허가,신축,2,0,창고시설,제2종근린생활시설(사무소),"4,523","1,071.31",23.69,"1,082","1,082",23.92,창고시설,일반창고,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,993.31,965,965,0,1,9.1,0,0,화인 건축사사무소,허가
경상북도,의성군,신축신고,신축,23,0,동.식물관련시설,곤충사육사,"9,543","3,047.62",31.94,"3,047.62","3,047.62",31.94,동.식물관련시설,기타동식물관련시설,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,169.286,169.286,169.286,0,1,3.8,0,0,동한건축사사무소,허가
충청남도,서산시,신축신고,신축,1,0,제2종근린생활시설,창고시설,704,198,28.13,198,198,28.13,제2종근린생활시설,제조업소,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,198,198,198,0,1,7,0,0,건축사사무소예일건축,허가
경기도,양평군,신축신고,신축,1,0,단독주택,단독주택,532,121.2,22.782,179.78,179.78,33.7932,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,121.2,179.78,179.78,0,2,8.5,0,0,선우건축사사무소,허가
충청북도,청주시 흥덕구,대수선허가,대수선,1,0,판매시설,상점,"1,356.70",840.54,61.95,"3,481.46","3,481.46",256.61,판매시설,상점,0,0,0,일반철골구조,일반철골구조,(철근)콘크리트,840.54,"3,481.46","3,481.46",0,6,27.7,2,0,두리방 건축사사무소,허가
경상북도,경주시,신축신고,신축,1,0,단독주택,단독주택,660,107.1,16.23,185.4,149.79,22.7,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,107.1,185.4,149.79,1,2,8.205,0,0,태경건축사사무소,허가
경상북도,경주시,신축신고,신축,1,0,단독주택,단독주택,532,89.64,16.85,89.64,89.64,16.85,단독주택,단독주택,1,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,89.64,89.64,89.64,0,1,6.19,0,0,건축사사무소 희건축,허가
충청남도,논산시,증축허가,증축,7,1,공장,단독주택,"33,057.90","17,519.93",53,"26,574.87","26,520.75",80.23,공장,물품 제조공장,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,"4,623.08","5,788.66","5,788.66",0,3,18.2,0,0,(주)정주건축사 사무소,허가
경기도,화성시,신축허가,신축,1,0,제2종근린생활시설,단독주택,"1,104",265.65,24.06,382.95,382.95,34.69,제2종근린생활시설,제조업소,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,265.65,382.95,382.95,0,2,10.95,0,0,태영건축사사무소,허가
경상남도,김해시,신축허가,신축,2,1,동.식물관련시설,축사,"3,904","2,056.40",52.67,"2,056.40","2,056.40",52.67,동.식물관련시설,축사,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,32.4,32.4,32.4,0,1,4.95,0,0,우림종합건축사사무소,허가
경기도,양주시,증축허가,증축,3,0,동.식물관련시설,축사,"4,752","1,778.64",37.43,"1,778.64","1,778.64",37.43,동.식물관련시설,기타동식물관련시설,0,0,0,강파이프구조,강파이프구조,기타지붕,-75.77,-75.77,-75.77,0,1,5.1,0,0,우현 건축사사무소,허가
경상북도,의성군,증축허가,증축,1,1,동.식물관련시설,단독주택,"3,973",327,8.23,986.72,986.72,24.86,동.식물관련시설,축사,0,0,0,블록구조,시멘트블록조,슬레이트,228.9,228.9,228.9,0,1,4,0,0,예건 건축사사무소,허가
경상북도,의성군,신축신고,신축,1,0,단독주택,단독주택,295,42.25,14.32,42.25,42.25,14.32,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,42.25,42.25,42.25,0,1,5.4,0,0,대웅 건축사사무소,허가
