시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
서울특별시,도봉구,용도변경신고,용도변경,1,0,제1종근린생활시설,소매점,131.6,105.28,80,110,105.28,80,제1종근린생활시설,소매점,0,0,0,벽돌구조,벽돌구조,기와,0,0,0,1,1,3,0,0,보리 건축사사무소,비허가
서울특별시,광진구,신축허가,신축,1,0,교육연구시설,"대학교(강의실),제2종근린생활시설(일반음식점)",1292,772.54,59.79,8166.09,4589.6,355.23,교육연구시설,"대학교(강의실),제2종근린생활시설(일반음식점)",0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트,0,0,0,4,6,50,2,0,건축사사무소광림,비허가
서울특별시,동작구,신축허가,신축,1,0,업무시설,공공업무시설,800,452.44,56.555,4183.03,3600,450,업무시설,공공업무시설,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,2,9,36.4,2,0,새한터 건축사사무소,비허가
서울특별시,광진구,증축허가,증축,1,0,문화및집회시설,교회,1165.06,697.09,59.83,1971.08,1307.22,112.2,문화및집회시설,교회,0,0,0,일반목구조,일반목구조,목구조,0,0,0,1,4,18.45,1,0,우정종합건축사사무소(주),비허가
제주특별시,제주시,신축허가,신축,5,0,숙박시설,일반숙박시설,2981,325.8,10.92,1954.8,1954.8,65.57,숙박시설,일반숙박시설,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,65.16,390.96,390.96,0,6,24,0,0,보광 건축사사무소,비허가
전라남도,여수시,공용건축물,공용건축물,1,1,제1종근린생활시설,마을공동시설,3505,2104.7525,60.05,2104.7525,2104.7525,60.05,제1종근린생활시설,마을공동시설,0,0,0,경량철골구조,경량철골구조,기타지붕,72,72,72,0,1,3.3,0,0,건축사사무소주호,비허가
경기도,수원시 권선구,증축신고,증축,1,0,공동주택,다세대주택,291,129.34,44.4467,277.78,258.5,88.8316,공동주택,다세대주택,16,18,0,일반목구조,일반목구조,목구조,0,19.9,19.9,1,2,16,0,0,한담건축사사무소,비허가
충청북도,진천군,대수선허가,대수선,1,0,제1종근린생활시설,"소매점,노유자시설",568,420.21,73.9806,3217.87,2869.82,505.25,제1종근린생활시설,"소매점,노유자시설",0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,1,10,45,0,1,(주)맥스트랫건축사사무소,비허가
광주광역시,동구,협의건축물,협의건축물,1,0,제1종근린생활시설,마을공동작업소,178,156.9,88.14,627.6,627.6,352.58,제1종근린생활시설,마을공동작업소,0,0,0,철근콘크리트구조,철근콘크리트구조,철근콘크리트구조,0,0,0,0,3,10.8,0,0,건축사사무소에이21,비허가
부산광역시,사하구,개축허가,개축,1,0,단독주택,단독주택,165,49.74,30.15,49.74,49.74,30.15,단독주택,단독주택,0,0,0,강파이프구조,강파이프구조,기타지붕,0,0,0,0,1,1.8,0,0,건축사사무소정원,비허가
전라남도,영광군,신축신고,신축,14,1,동.식물관련시설,단독주택,"10,728.40","5,166",48.1526,"5,166","5,166",48.1526,동.식물관련시설,곤충사육,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,396,396,396,0,1,6.15,0,0,옥당 건축사사무소,허가
서울특별시,강동구,신축허가,신축,1,0,단독주택,다가구주택(5) 및 2종근생,192,115.08,59.94,382.21,382.21,199.07,단독주택,다가구주택,0,0,5,철근콘크리트구조,철근콘크리트구조,기타지붕,115.08,382.21,382.21,0,5,14.3,1,0,오름건축사사무소,허가
경기도,화성시,신축신고,신축,0,0,제2종근린생활시설,제조업소,871,199.07,22.86,199.07,199.07,22.86,제2종근린생활시설,제조업소,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,199.07,199.07,199.07,0,1,8.85,0,0,세원건축사사무소,허가
경기도,화성시,증축신고,증축,1,0,단독주택,"(다가구주택-2가구,창고)",245,92.93,37.93,183.53,183.53,74.91,단독주택,단독주택,0,0,2,철근콘크리트구조,철근콘크리트구조,기타지붕,0,61.18,61.18,0,2,9.3,0,0,건축사사무소 세인앤유,허가
경상북도,영천시,신축신고,신축,1,0,단독주택,단독주택,380,75.95,19.99,75.95,75.95,19.99,단독주택,단독주택,0,0,1,경량철골구조,경량철골조,기타지붕,75.95,75.95,75.95,0,1,6.3,0,0,건축사사무소 건창기술단,허가
경상남도,함양군,신축신고,신축,1,1,창고시설,농업용창고,660,130.98,19.85,123.14,123.14,18.66,창고시설,기타창고시설,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,49.64,49.64,49.64,0,1,3.7,0,0,상림건축사사무소,비허가
경기도,안산시 상록구,신축허가,신축,1,0,단독주택,다중주택,215.5,128.34,59.5545,409.76,409.76,190.1439,단독주택,다중주택,0,0,1,철근콘크리트구조,옹벽식,(철근)콘크리트,128.34,409.76,409.76,0,4,11.9,0,0,프로웨이건축사사무소,비허가
경상북도,울진군,증축신고,증축,1,0,동.식물관련시설,축사및퇴비사,"1,547",343.2,22.18,343.2,343.2,22.18,동.식물관련시설,축사,0,0,0,경량철골구조,경량철골조,기타지붕,145.2,145.2,145.2,0,1,6,0,0,(주)삼화에이앤드씨 건축사사무소,비허가
경상북도,의성군,신축신고,신축,1,1,단독주택,단독주택,537,113.48,21.13,108.14,108.14,20.14,단독주택,단독주택,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,12,12,12,0,1,2.7,0,0,건축사사무소 선경,비허가
제주특별자치도,서귀포시,신축신고,신축,16,0,단독주택,단독주택,"7,395","1,385.86",18.7405,"1,663.85","1,663.85",22.4997,단독주택,단독주택,0,1,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,86.38,98.33,98.33,0,2,7.5,0,0,건축사사무소 반디,비허가
경기도,양평군,신축신고,신축,1,0,제1종근린생활시설,소매점,430,83.2,19.35,83.2,83.2,19.35,제1종근린생활시설,소매점,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,83.2,83.2,83.2,0,1,5.19,0,0,(주)희우건축사사무소,비허가
충청남도,홍성군,신축신고,신축,1,0,단독주택,단독주택,974,124.17,12.75,99.92,99.92,10.26,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,124.17,99.92,99.92,0,1,6,0,0,조양건축사사무소,비허가
경상북도,청도군,공용건축물,신축,1,0,제1종근린생활시설,변전소,"1,750",262.63,15.01,247.8,247.8,14.16,제1종근린생활시설,변전소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,262.63,247.8,247.8,0,1,6.15,0,0,(주)아키비젼건축사사무소,비허가
경기도,하남시,신축허가,신축,2,0,교육연구시설,"교육연구시설(도서관),노유자시설(어린이집)","6,912",739.9,10.7,"1,613.35",877.77,12.7,교육연구시설,도서관,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,425.05,985.42,566.49,1,2,10.5,1,0,(주)케이아트엔지니어링종합건축사사무소,비허가
전라남도,함평군,증축신고,증축,1,0,단독주택,단독주택,"1,147",128.36,11.19,127.28,127.28,11.1,단독주택,단독주택,0,0,1,경량철골구조,경량철골구조,기타지붕,28.62,28.62,28.62,0,1,3.25,0,0,케이건축사사무소,비허가
경기도,양평군,신축신고,신축,4,0,동.식물관련시설,단독주택,"6,253",445.025,7.117,445.025,445.025,7.117,동.식물관련시설,작물재배사,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,106.58,106.58,106.58,0,1,5.85,0,0,BOM건축사사무소,비허가
경상북도,경주시,신축신고,신축,0,0,동.식물관련시설,축사,905,174.84,19.3193,207.04,207.04,22.8773,동.식물관련시설,축사,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,7.2,7.2,7.2,0,1,2.6,0,0,건축사사무소 동일,비허가
충청북도,진천군,신축허가,신축,1,0,단독주택,다가구주택,546,217.74,39.88,545.56,545.56,99.92,단독주택,다가구주택,0,0,18,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,217.74,545.56,545.56,0,4,14.9,1,0,(주)다온엔지니어링건축사사무소,비허가
경상북도,군위군,증축신고,증축,1,0,제2종근린생활시설,골프연습장,"1,328",226.53,17.06,226.53,226.53,17.06,제2종근린생활시설,골프연습장,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,72.48,72.48,72.48,0,1,4.6,0,0,군위 건축사사무소,비허가
경기도,파주시,신축신고,신축,3,0,동.식물관련시설,축사(한우),"3,157",886.6,28.08,886.6,886.6,28.08,동.식물관련시설,기타동식물관련시설,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,357.5,357.5,357.5,0,1,7,0,0,예전건축사사무소,비허가
제주특별자치도,제주시,증축신고,증축,14,0,동.식물관련시설,"돈사,창고","11,209","4,474.56",39.92,"4,474.56","4,474.56",39.92,동.식물관련시설,축사,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,309.4,309.4,309.4,0,1,5.15,0,0,건축사사무소 건축마당,비허가
경기도,가평군,신축신고,신축,1,0,단독주택,제2종근린생활시설,640,197.96,30.93,197.96,197.96,30.93,단독주택,단독주택,0,1,0,일반철골구조,철근콘크리트구조,(철근)콘크리트,197.96,197.96,197.96,0,1,3.9,0,0,건승건축사사무소,비허가
경기도,양평군,신축허가,신축,1,0,공동주택,연립주택-도시형생활주택(28세대),"1,582",751.74,47.52,"2,595.91","2,595.91",164.09,공동주택,연립주택,28,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,751.74,"2,595.91","2,595.91",0,5,15.2,2,0,로이건축사사무소,비허가
울산광역시,남구,신축허가,신축,1,0,제2종근린생활시설,단독주택,609.4,298.76,49.03,"1,185.48","1,185.48",194.53,제2종근린생활시설,사무소,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,298.76,"1,185.48","1,185.48",0,5,21.7,1,0,아신건축사사무소,비허가
전라남도,나주시,신축신고,신축,1,1,단독주택,주택및(창고.화장실),"1,190",113.72,9.5563,113.72,113.72,9.5563,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,87.68,87.68,87.68,0,1,7.1,0,0,(주)문화건축사사무소,비허가
울산광역시,울주군,증축허가,증축,6,1,공장,단독주택,"37,293","20,600.18",55.24,"22,424.59","22,312.59",59.83,공장,물품 제조공장,0,0,0,일반철골구조,일반철골구조,기타지붕,139.06,139.06,139.06,0,2,12.1,0,0,호연종합건축사사무소,비허가
경상남도,합천군,증축허가,증축,2,3,동.식물관련시설,"창고,우사,퇴비사,저장조,비가림시설,송아지방,통로","3,158",914.47,28.96,914.47,914.47,28.96,동.식물관련시설,기타동식물관련시설,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,4.16,4.16,4.16,0,1,6.9,0,0,건축사사무소 세진건축,비허가
전라남도,담양군,신축허가,신축,18,0,단독주택,단독주택,"4,678","1,125",24.05,"3,195","1,800",38.48,단독주택,단독주택,1,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,62.5,177.5,100,1,0,8.5,0,0,건축사사무소공간,비허가
충청남도,서산시,신축신고,신축,1,0,단독주택,"다가구주택,소매점",313,114.6,36.61,97.8,97.8,31.25,단독주택,다가구주택,0,0,6,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,114.6,97.8,97.8,0,1,3.6,0,0,건축사사무소 유앤정,비허가
서울특별시,용산구,용도변경허가,용도변경,1,0,제2종근린생활시설,사무소,58.9,40.07,68.03,113.57,113.57,192.81,제2종근린생활시설,사무소,0,15,0,철근콘크리트구조,"철근콘크리트조, 연와조",(철근)콘크리트,40.07,113.57,113.57,0,3,8.6,0,0,(주)광장건축사사무소,허가
경기도,남양주시,신축신고,신축,1,0,단독주택,단독주택,725,81.16,11.19,127.79,127.79,17.63,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,81.16,127.79,127.79,0,2,6.75,0,0,주식회사이와이건축사사무소,허가
경상남도,거창군,신축허가,신축,5,0,단독주택,단독주택,"2,843",473.14,16.64,600.14,600.14,21.11,단독주택,단독주택,0,0,1,일반목구조,철근콘크리트구조,기타지붕,93.12,118.2,118.2,0,2,8.3,0,0,거창종합건축사사무소,허가
경기도,포천시,증축신고,증축,4,0,제1종근린생활시설,제2종근린생활시설/단독주택,"1,365",522.95,38.31,522.95,522.95,38.31,제2종근린생활시설,제조업소,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,196,196,196,0,1,5.7,0,0,미르건축사사무소,허가
서울특별시,중랑구,신축허가,신축,1,0,단독주택,다가구주택,102.5,61.47,59.97,221.19,192.27,187.58,단독주택,다가구주택,0,2,2,철근콘크리트구조,철근콘크리트조,(철근)콘크리트,61.47,221.19,192.27,1,4,14.27,0,0,(주)시우플랜건축사사무소 (이지희),허가
서울특별시,성북구,신축허가,신축,0,0,단독주택,"다가구주택,소매점",162,97.05,59.91,279.64,279.64,172.62,단독주택,다가구주택,0,0,5,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,97.05,279.64,279.64,0,4,13.52,0,0,아인건축사사무소,허가
경기도,광주시,신축허가,신축,1,0,단독주택,단독주택,305,100.8,33.05,193.53,193.53,63.45,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,100.8,193.53,193.53,0,3,10.4,0,0,예닮건축사사무소,허가
서울특별시,금천구,용도변경허가,용도변경,1,0,단독주택,근린생활시설,241.3,105.18,43.59,273.54,210.36,87.18,단독주택,이용원,0,0,1,벽돌구조,연와조,(철근)콘크리트,105.18,273.54,210.36,1,2,0,0,0,주식회사 이엔피건축사사무소,허가
경기도,김포시,신축신고,신축,1,0,단독주택,단독주택,364,61.19,16.81,95.12,95.12,26.13,단독주택,단독주택,1,0,0,일반목구조,철근콘크리트구조,기타지붕,61.19,95.12,95.12,0,2,7.2,0,0,신흥건축사사무소,허가
전라남도,화순군,증축신고,증축,1,1,단독주택,단독주택,953,251.952,26.44,249.81,249.81,26.21,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,113.092,110.95,110.95,0,1,5.3,0,0,건축사사무소인,허가
전라북도,고창군,신축신고,신축,1,0,제1종근린생활시설,소매점,386,94,24.35,94,94,24.35,제1종근린생활시설,소매점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,94,94,94,0,1,7,0,0,한솔건축사사무소,허가
제주특별자치도,서귀포시,신축허가,신축,6,0,단독주택,단독주택,"2,778",425.4,15.3132,298.56,298.56,10.7473,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,기타지붕,70.9,49.76,49.76,0,1,6.3,0,0,정 건축사사무소,허가
경상남도,진주시,증축신고,증축,1,0,단독주택,단독주택(부속창고),232.4,116.71,50.22,206.44,206.44,88.83,단독주택,단독주택,0,0,1,경량철골구조,경량철골구조,기타지붕,27.61,27.61,27.61,0,1,3.211,0,0,건축사사무소마당,허가
인천광역시,옹진군,신축신고,신축,10,0,야영장시설,일반야영시설,"1,537",236.48,15.39,236.47,236.47,15.39,야영장시설,기타야영장시설,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,40.95,40.78,40.78,0,2,4.8,0,0,코어그룹건축사사무소,허가
경상북도,상주시,신축신고,신축,5,0,동.식물관련시설,축사및퇴비사,"5,835","1,775",30.42,"1,775","1,775",30.42,동.식물관련시설,기타동식물관련시설,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,175,175,175,0,1,7.5,0,0,도시건축사사무소,허가
경기도,파주시,신축허가,신축,0,0,단독주택,다가구주택,349.8,192.1,54.92,394.6,394.6,112.81,단독주택,다가구주택,0,0,3,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,192.1,394.6,394.6,0,3,11.6,1,0,이건축사사무소,허가
경상북도,청도군,신축신고,신축,1,0,단독주택,단독주택,650,148.75,22.8846,98.41,98.41,15.14,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,148.75,98.41,98.41,0,1,6.28,0,0,한국건축사사무소,허가
경기도,평택시,신축허가,신축,0,0,제1종근린생활시설,소매점,662,131.4,19.85,131.4,131.4,19.85,제1종근린생활시설,소매점,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,131.4,131.4,131.4,0,1,5.6,0,0,(주)문원종합건축사사무소,허가
경상북도,영주시,증축신고,증축,2,0,단독주택,단독주택,850,178.81,21.04,157.31,157.31,18.51,단독주택,단독주택,0,0,1,기타조적구조,철근콘크리트구조,기타지붕,119.41,97.91,97.91,0,1,5.16,0,0,파란건축사사무소,허가
전라남도,무안군,증축허가,증축,10,0,동.식물관련시설,단독주택,"5,961","2,932.04",49.187,"2,932.04","2,932.04",49.187,동.식물관련시설,축사,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,99.05,99.05,99.05,0,1,4,0,0,(유)진영건축사사무소,허가
전라북도,전주시 덕진구,신축허가,신축,1,0,단독주택,다가구주택,347,207.34,59.75,591.56,591.56,170.48,단독주택,다가구주택,0,0,15,철근콘크리트구조,철근콘크리트구조,기타지붕,207.34,591.56,591.56,0,4,14.4,1,0,아인건축사사무소,허가
경기도,고양시 일산동구,신축허가,신축,3,0,공동주택,다세대주택,"1,972",631.17,32.01,"1,929.15","1,810.80",91.83,공동주택,다세대주택,8,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,208.35,613.92,569.04,1,4,13.65,1,0,(주)한결건축사사무소,허가
서울특별시,서초구,용도변경허가,용도변경,1,0,업무시설,사무소,759.4,340.04,44.7775,"1,941.89","1,385.39",182.4322,제2종근린생활시설,제조업소,0,0,0,철근콘크리트구조,철근콘크리트조,(철근)콘크리트,340.04,"1,941.89","1,385.39",1,4,15,0,0,한승재 건축사사무소,허가
충청남도,천안시 서북구,협의건축물,증축,27,0,공장,단독주택,"158,320","54,737.39",34.57,"108,780.36","106,975.12",67.57,위험물저장및처리시설,위험물저장소,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,664.16,664.16,664.16,0,1,6.65,0,0,(주)가운건축사사무소,허가
전라남도,순천시,신축신고,신축,1,0,제2종근린생활시설,일반음식점,53,26.27,49.566,52.54,52.54,99.1321,제2종근린생활시설,일반음식점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,26.27,52.54,52.54,0,2,9,0,0,삼우건축사사무소,허가
경상북도,성주군,협의건축물,신축,1,1,공장,공장,"1,944",544,27.98,544,544,27.98,공장,기타공장,0,0,0,일반철골구조,일반철골구조,기타지붕,495,495,495,0,1,9.7,0,0,대명 건축사사무소,허가
경상남도,합천군,신축신고,신축,1,0,동.식물관련시설,단독주택,909,243.71,26.81,243.71,243.71,26.81,동.식물관련시설,축사,0,0,0,경량철골구조,철근콘크리트구조,슬레이트,243.71,243.71,243.71,0,1,4.5,0,0,대광건축사사무소,허가
경기도,화성시,신축신고,신축,1,0,제2종근린생활시설,일반음식점,781,195.5,25.03,195.5,195.5,25.03,제2종근린생활시설,일반음식점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,195.5,195.5,195.5,0,1,5.6,0,0,시.원건축사사무소,허가
인천광역시,강화군,신축허가,신축,2,0,공동주택,다세대주택 및 근린생활시설,885,322.84,36.48,600.6,600.6,67.86,제1종근린생활시설,휴게음식점,0,1,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,67.54,142.12,142.12,0,2,9.37,0,0,엔츠건축사사무소,허가
경기도,의정부시,용도변경신고,용도변경,1,0,노유자시설,"노유자시설(사회복지시설), 근린생활시설",227.1,134.02,59.0137,656.64,487.04,214.4606,노유자시설,학원,0,0,0,철근콘크리트구조,철근콘크리트조,(철근)콘크리트,134.02,656.64,487.04,1,4,17.8,0,0,양우 건축사사무소,허가
전라북도,익산시,공용건축물,증축,20,0,업무시설,공공업무시설,"72,479","8,342.30",11.51,"14,986.70","13,986.97",19.3,업무시설,기타공공업무시설,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,-214.56,-214.56,-214.56,0,1,0,0,0,남북건축사사무소,허가
세종특별자치시,제주시,용도변경허가,용도변경,1,0,공동주택,"제1,2종근린생활시설","1,939","1,338.34",69.02,"14,512.86","9,516.41",490.78,공동주택,일반음식점,131,67,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,"1,338.34","14,512.86","9,516.41",3,8,32.4,4,0,(주)아이팝엔지니어링 종합건축사사무소,허가
광주광역시,광산구,용도변경허가,용도변경,1,0,제1종근린생활시설,단독주택,"1,758.20","1,052.35",59.8538,"8,971.60","7,366.45",418.9768,제1종근린생활시설,소매점,40,0,0,철골철근콘크리트구조,철골철근콘크리트구조,(철근)콘크리트,"1,052.35","8,971.60","7,366.45",1,7,30.6,2,0,건축사사무소우성건축(주),허가
대전광역시,유성구,증축신고,증축,1,0,단독주택,다가구주택,234.3,139.8,59.67,346.62,346.62,147.94,단독주택,일반음식점,0,0,2,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,0,13.58,13.58,0,3,13.59,0,0,건축사사무소 네오,허가
전라북도,고창군,공용건축물,신축,1,1,제2종근린생활시설,사무소및창고,"4,795",953.74,19.8903,"1,340.74","1,340.74",27.9612,제2종근린생활시설,사무소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,142.74,142.74,142.74,0,1,5.25,0,0,라일건축사사무소,허가
서울특별시,중랑구,증축신고,증축,1,0,제2종근린생활시설,일반음식점,432,217.25,50.28,212.2,212.2,49.12,제2종근린생활시설,일반음식점,0,0,0,철근콘크리트구조,철근콘크리트구조/경량철골,(철근)콘크리트,17.25,17.25,17.25,0,1,5.2,0,0,대영건축사사무소,허가
전라북도,임실군,신축신고,신축,1,0,제1종근린생활시설,마을공동시설(모정),"1,071",17.53,1.6368,17.53,17.53,1.6368,제1종근린생활시설,마을공동시설,0,0,0,일반목구조,철근콘크리트구조,기와,17.53,17.53,17.53,0,1,5,0,0,(주)진우건축사사무소,허가
경기도,평택시,공용건축물,증축,1,0,제1종근린생활시설,휴게음식점,"152,577","1,487.30",0.97,"2,344.45","2,344.45",1.54,제1종근린생활시설,휴게음식점,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,25.66,73.54,73.54,0,3,19.7,0,0,안중 건축사사무소,허가
충청남도,천안시 서북구,신축허가,신축,1,0,단독주택,다가구주택,175.5,105.03,59.8462,363.15,363.15,206.9231,단독주택,다가구주택,0,0,3,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,105.03,363.15,363.15,0,4,17.85,1,0,건축사사무소 수목,허가
전라남도,영암군,증축신고,증축,3,2,동.식물관련시설,단독주택,"9,461",523.17,5.53,587.17,587.17,6.21,동.식물관련시설,기타동식물관련시설,0,0,0,일반철골구조,일반철골구조,(철근)콘크리트,0,64,64,0,2,8.4,0,0,명제건축사사무소,허가
충청북도,청주시 흥덕구,증축허가,증축,1,0,단독주택,제1종근린생활시설,342.6,204.2,59.6,678.99,678.99,198.19,제1종근린생활시설,소매점,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,0,126.2,126.2,0,1,3.6,0,0,광림종합건축사사무소,허가
경기도,파주시,증축신고,증축,1,0,제2종근린생활시설,단독주택,604,202.96,33.6,280.35,280.35,46.42,제2종근린생활시설,단독주택,0,0,1,일반철골구조,일반철골구조,기타지붕,7.46,84.85,84.85,0,2,7.95,0,0,(주)건축사사무소 두리,허가
강원도,원주시,신축신고,신축,1,0,제1종근린생활시설,자동차관련시설(세차장),572,96,16.78,96,96,16.78,제1종근린생활시설,소매점,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,96,96,96,0,1,6.15,0,0,태기건축사사무소,허가
울산광역시,울주군,신축신고,신축,1,0,단독주택,단독주택,365.5,91.2,24.95,91.2,91.2,24.95,단독주택,단독주택,0,0,1,경량철골구조,철근콘크리트구조,기타지붕,91.2,91.2,91.2,0,1,4.8,0,0,(주)지산건축사사무소,허가
강원도,인제군,공용건축물,증축,1,4,제1종근린생활시설,단독주택,"4,971",302.44,6.08,269.12,269.12,5.41,제1종근린생활시설,마을회관,0,0,0,컨테이너조,철근콘크리트구조,기타지붕,18,18,18,0,1,2.7,0,0,주식회사 최문규 건축사사무소,허가
대구광역시,달성군,신축허가,신축,1,0,단독주택,다가구주택,241,144.39,59.91,387.29,387.29,160.7,단독주택,다가구주택,0,0,3,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,144.39,387.29,387.29,0,3,12.1,0,0,건축사사무소 고견건축,허가
충청북도,음성군,신축신고,신축,1,0,단독주택,단독주택,660,130.76,19.81,96.92,96.92,14.68,단독주택,단독주택,0,0,1,일반목구조,철근콘크리트구조,기와,130.76,96.92,96.92,0,1,6.84,0,0,다담종합건축사사무소,허가
경기도,평택시,신축허가,신축,1,0,단독주택,단독주택,335,132.4,39.52,229.69,229.69,68.56,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,132.4,229.69,229.69,0,2,9.8,0,0,안중 건축사사무소,허가
전라남도,여수시,신축허가,신축,1,0,제2종근린생활시설,"소매점, 일반음식점, 사무소, 당구장","1,487",497.36,33.4472,994.72,994.72,66.8944,제2종근린생활시설,사무소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,497.36,994.72,994.72,0,2,9.75,0,0,유로건축사사무소,허가
경상북도,예천군,신축허가,신축,1,1,동.식물관련시설,단독주택,"3,756","1,320",35.14,"1,650","1,650",43.93,동.식물관련시설,축사,0,0,0,기타강구조,철근콘크리트구조,기타지붕,18,18,18,0,1,2.7,0,0,건축사사무소대도,허가
전라북도,익산시,신축허가,신축,1,0,제2종근린생활시설,사무소,"1,829",166.16,9.0847,494.04,494.04,27.0115,제2종근린생활시설,사무소,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,166.16,494.04,494.04,0,3,11.8,0,0,美 건축사 사무소,허가
충청남도,천안시 동남구,신축허가,신축,5,5,제1종근린생활시설,제2종근린생활시설,"4,950",541.5,10.9394,999,541.5,10.9394,제2종근린생활시설,기타종교집회장,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,82.5,82.5,0,1,0,4.5,0,0,(주)신평엔지니어링 종합건축사사무소,허가
서울특별시,성동구,증축허가,증축,1,1,교육연구시설,대학교,"520,856","112,076.36",21.5177,"757,759.56","600,302.91",115.2499,교육연구시설,대학교,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,415.47,496.39,496.39,0,2,9.49,0,0,(주)도씨에건축사사무소,허가
부산광역시,동래구,신축신고,신축,5,0,제2종근린생활시설,일반음식점,240.66,17.1,7.11,17.1,17.1,7.11,제2종근린생활시설,일반음식점,0,0,0,일반목구조,철근콘크리트구조,기타지붕,3.42,3.42,3.42,0,1,3.2,0,0,미담 건축사사무소,허가
부산광역시,사상구,신축신고,신축,1,0,공장,단독주택,243.4,168.3,69.15,336.6,336.6,138.29,공장,물품 제조공장,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,168.3,336.6,336.6,0,2,13.5,0,0,아키펌&나우 건축사사무소,허가
경상남도,진주시,신축허가,신축,1,0,단독주택,단독주택(다가구주택(2가구)),457,113.19,24.76,170.28,170.28,37.26,단독주택,다가구주택,0,0,2,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,113.19,170.28,170.28,0,2,8.58,0,0,(주)중인건축사사무소,허가
